unique_spon_names,normed_spon_names
"1. Xinhua affiliated hospital, Hubei University of Chinese Medicine; 2. Hubei Provincial Hospital of Integrated Chinese and Western Medicine","Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine"
"1. Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; 2. Hubei Provincial Hospital of Integrated Chinese and Western Medicine","Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine"
"1.Xinhua affiliated hospital, Hubei University of Chinese Medicine; 2. Hubei Provincial Hospital of Integrated Chinese and Western Medicine","Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine"
Affiliated Hospital of Changchun University of traditional Chinese Medicine,Affiliated Hospital of Changchun University of Traditional Chinese Medicine
Affiliated Hospital of Chengdu University of Traditional Chinese Medicine,Affiliated Hospital of Chengdu University of Traditional Chinese Medicine
Affiliated Hospital of Guangdong Medical University,Affiliated Hospital of Guangdong Medical University
Affiliated Hospital of Inner Mongolia University for the Nationalities,Affiliated Hospital of Inner Mongolia University for the Nationalities
Affiliated Hospital of Shaanxi University of Traditional Chinese Medicine,Affiliated Hospital of Shaanxi University of Traditional Chinese Medicine
Affiliated Hospital of Shandong University of Traditional Chinese Medicine,Affiliated Hospital of Shandong University of Traditional Chinese Medicine
Affiliated Hospital of traditional Chinese and Western Medicine Nanjing University of Chinese Medicine,Affiliated Hospital of Traditional Chinese and Western Medicine Nanjing University of Chinese Medicine
"Affiliated Hospital of Traditional Chinese Medicine, Southwest Medical University","Affiliated Hospital of Traditional Chinese Medicine, Southwest Medical University"
Affiliated Hospital of Xuzhou Medical University,Affiliated Hospital of Xuzhou Medical University
Affiliated Hospital to Academy of Military Medical Sciences,Affiliated Hospital to Academy of Military Medical Sciences
Affiliated Zhongshan Hospital of Dalian University,Affiliated Zhongshan Hospital of Dalian University
Anhui Cancer Hospital,Anhui Cancer Hospital
Anqing Municipal Hospital,Anqing Municipal Hospital
Asan Medical Center,Asan Medical Center
Azidus Brasil,Azidus Brasil
Beijing 302 Hospital,Beijing 302 Hospital
"Beijing An Zhen Hospital, Capital Medical University","Beijing An Zhen Hospital, Capital Medical University"
Beijing Chao Yang Hospital,"Beijing Chaoyang Hospital, Capital Medical University"
"Beijing Chao-yang Hospital, Capital Medical University","Beijing Chaoyang Hospital, Capital Medical University"
"Beijing Chaoyang Hospital, Capital Medical University","Beijing Chaoyang Hospital, Capital Medical University"
Beijing Children's Hospital,Beijing Children's Hospital
Beijing Ditan Hospital,Beijing Ditan Hospital
Beijing Geriatric Hospital,Beijing Geriatric Hospital
Beijing Hospital of Traditional Chinese Medicine affiliated to Capital Medical University/Beijing institute of Traditional Chinese MedHubei integrated traditional Chinese and Western Medicine Hospital,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Beijing hospital of Traditional Chinese medicine; Hubei integrated traditional Chinese and Western Medicine Hospital,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Beijing hospital of Traditional Chinese Medicine; Hubei Integrated Traditional Chinese and Western Medicine Hospital,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Beijing Normal University,Beijing Normal University
Beijing Tsinghua Chang Gung Hospital,Beijing Tsinghua Chang Gung Hospital
"Beijing You'an Hospital, Capital Medical University","Beijing You'an Hospital, Capital Medical University"
Beijing YouAn Hospital,"Beijing You'an Hospital, Capital Medical University"
"Cancer Institute, Longhua Hospital, Shanghai University of Traditional Chinese Medicine","Cancer Institute, Longhua Hospital, Shanghai University of Traditional Chinese Medicine"
Cangzhou People's Hospital,Cangzhou People's Hospital
CanSino Biologics Inc.,CanSino Biologics Inc.
Capital Medical University,Capital Medical University
"CAR-T (Shanghai) Biotechnology Co., Ltd.","CAR-T (Shanghai) Biotechnology Co., Ltd."
Central South Hospital of Wuhan University,Central South Hospital of Wuhan University
Central Theater General Hospital of PLA,Central Theater General Hospital of PLA
"Centro Studi Internazionali, Italy","Centro Studi Internazionali, Italy"
"Changzheng Hospital, Naval Military Medical University, Shanghai","Changzheng Hospital, Naval Military Medical University, Shanghai"
Chengdu University of Traditional Chinese Medicine,Chengdu University of Traditional Chinese Medicine
Children's Hospital of Fudan University,Children's Hospital of Fudan University
China Academy of Chinese Medical Science,China Academy of Chinese Medical Science
China Academy of Chinese Medical Sciences,China Academy of Chinese Medical Sciences
China Academy of Chinese Medical Sciences; Zhongnan Hospital of Wuhan University,China Academy of Chinese Medical Sciences; Zhongnan Hospital of Wuhan University
China-Japan friendship hospital,China-Japan Friendship Hospital
Chinese Alliance Against Lung Cancer,Chinese Alliance Against Lung Cancer
Chinese PLA General Hospital,Chinese PLA General Hospital
Chinese University of Hong Kong,Chinese University of Hong Kong
Chongqing Medical University,Chongqing Medical University
Chongqing Public Health Medical Center,Chongqing Public Health Medical Center
"Clinical Research Institute, Shenzhen-Peking University-The Hong Kong University of Science & Technology Medical Center",Shenzhen-Peking University; The Hong Kong University of Science & Technology Medical Center
"Critical Care Research Group
The Prince Charles Hospital",The Prince Charles Hospital
"Dalian Medical University, Dalian, China.","Dalian Medical University, Dalian, China."
"Daping Hospital,Army Medical University","Daping Hospital,Army Medical University"
"Department of Anesthesiology, Zhongnan Hospital of Wuhan University",Zhongnan Hospital of Wuhan University
"Department of Critical Care Medicine, The First Affiliated Hospital, Henan Traditional Chinese Medicine University","The First Affiliated Hospital, Henan Traditional Chinese Medicine University"
"Department of critical care medicine, the third affiliated hospital of zunyi medical university",Third Affiliated Hospital of Zunyi Medical University
"Department of Critical Care Medicine, the Third Affiliated Hospital of Zunyi Medical University",Third Affiliated Hospital of Zunyi Medical University
"Department of Critical Care Medicine, West China Hospital of Sichuan University",West China Hospital of Sichuan University
"Department of critical care, Zhongnan Hospital of Wuhan University",Zhongnan Hospital of Wuhan University
"Department of Hematology, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Department of Nephrology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College",Chinese Academy of Medical Sciences Peking Union Medical College Hospital
"Department of Nephrology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Chinese Academy of Medical Sciences Peking Union Medical College Hospital
"Department of Nephrology, Wuhan children's Hospital","Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology"
"Department of Respiratory and Critical Care Medicine, Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Department of respiratory and critical care medicine, Tongji Hospital, Tongji Medical College, Huazhong University of science and technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Department of Ultrasound Imaging, Renmin Hospital of Wuhan University",Renmin Hospital of Wuhan University
"Department of Ultrasound, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Deyang Integrated Traditional Chinese and Western Medicine Hospital,Deyang Integrated Traditional Chinese and Western Medicine Hospital
Digestive Disease Research Institute,Digestive Disease Research Institute
Doi Yohei,Doi Yohei
Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine
Emergency Department of Zhongnan hospital of Wuhan University,Zhongnan Hospital of Wuhan University
Enze Hospital of Taizhou Enze Medical Center (Group),Enze Hospital of Taizhou Enze Medical Center (Group)
Federico II University,Federico II University
Fifth People's Hospital of Ganzhou,The Fifth People's Hospital of Ganzhou
First Affiliated Hospital of Anhui Medical University,The First Affiliated Hospital of Anhui Medical University
First Affiliated Hospital of Fujian Medical University,The First Affiliated Hospital of Fujian Medical University
First Affiliated Hospital of Wenzhou Medical University,The First Affiliated Hospital of Wenzhou Medical University
First Affiliated Hospital of Zhejiang University,The First Affiliated Hospital of Zhejiang University
"First People's Hospital of Jiangxia District, Wuhan (Union Jiangnan Hospital)","The First People's Hospital of Jiangxia District, Wuhan (Union Jiangnan Hospital)"
First Teaching Hospital of Tianjin University of Traditional Chinese Medicine,The First Teaching Hospital of Tianjin University of Traditional Chinese Medicine
Fondation MAditerranAe Infection (FMI) - IHU MAditerranAe Infection,Fondation Méditerranée Infection (FMI) - IHU Méditerranée Infection
Foshan First People's Hospital,Foshan First People's Hospital
Fujian Provincial Hospital,Fujian Provincial Hospital
"Ganzi Hospital of West China Hospital, Sichuan University","Ganzi Hospital of West China Hospital, Sichuan University"
Gilead Sciences,Gilead Sciences
Groupe Hospitalier Pitie-Salpetriere,Groupe Hospitalier Pitie-Salpetriere
Guangdong Provincial Hospital of Chinese Medicine,Guangdong Provincial Hospital of Chinese Medicine
Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital,Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital
Guangxi medical uniwresity,Guangxi Medical University
Guangzhou 8th People's Hospital,Guangzhou 8th People's Hospital
Guangzhou Blood Center,Guangzhou Blood Center
Guangzhou Eighth People's Hospital,Guangzhou Eighth People's Hospital
Guangzhou Institute of Respiratory Disease,Guangzhou Institute of Respiratory Disease
"Guangzhou reborn health management consultation co., LTD","Guangzhou reborn health management consultation co., LTD"
Health commission of Heilongjiang province,Health commission of Heilongjiang province
"Hebei Yiling Hospital, Renmin Hospital of Wuhan University",Hebei Yiling Hospital; Renmin Hospital of Wuhan University
Hebei Yiling Hospital?Renmin Hospital of Wuhan University,Hebei Yiling Hospital; Renmin Hospital of Wuhan University
Henan Provincial People's Hospital,Henan Provincial People's Hospital
Hospices Civils de Lyon,Hospices Civils de Lyon
Hospital of Chengdu University of Traditional Chinese Medicine,Hospital of Chengdu University of Traditional Chinese Medicine
Hospital of Chengdu University of Traditional Chinese Medicine.,Hospital of Chengdu University of Traditional Chinese Medicine
Hu'nan Cancer Hospital,Hu'nan Cancer Hospital
"Hu'nan Provincial People's Hospital, Hu'nan Normal University","Hu'nan Provincial People's Hospital, Hu'nan Normal University"
Hu'nan university of chinese medicine,Hunan University of Chinese Medicine
Huangshi Hospital of Traditional Chinese Medicine,Huangshi Hospital of Traditional Chinese Medicine
Huashan Hospital,Huashan Hospital
Huashan Hospital Fudan Universtiy,Huashan Hospital; Fudan Universtiy
Huazhong University of Science and Technology,Huazhong University of Science and Technology
Hubei 672 Orthopaedics Hospital of Integrated Chinese&Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Hubei Cancer Hospital,Hubei Cancer Hospital
Hubei Hospital of Traditional Chinese Medicine,Hubei Hospital of Traditional Chinese Medicine
Hubei Integrated Hospital of Traditional Chinese and Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Hubei Provincial Hospital of TCM,Hubei Hospital of Traditional Chinese Medicine
Hubei Provincial Hospital Of TCM,Hubei Hospital of Traditional Chinese Medicine
Hubei Provincial Integrated Hospital of traditional Chinese and Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Hubei Shiyan Taihe hospital,Hubei Shiyan Taihe hospital
Hudson Medical,Hudson Medical
Huilan Zhang,Huilan Zhang
HuiZhou Municipal Central Hospital,HuiZhou Municipal Central Hospital
"Hunan yuanpin Cell Biotechnology Co., Ltd","Hunan yuanpin Cell Biotechnology Co., Ltd"
Huo-Shen-Shan Hospital,Huo-Shen-Shan Hospital
"Hwa Mei Hospital, University of Chinese Academy of Sciences","Hwa Mei Hospital, University of Chinese Academy of Sciences"
"HwaMei Hospital, University of Chinese Academy of Sciences","Hwa Mei Hospital, University of Chinese Academy of Sciences"
INSERM,INSERM
"Institut National de la SantA Et de la Recherche MAdicale, France",INSERM
"Institut National de la Sante Et de la Recherche Medicale, France",INSERM
"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences","Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences"
"Institute of Emergency Medicine and Disaster Medicine Sichuan People's Hospital, Sichuan Academy of Medical Sciences","Institute of Emergency Medicine and Disaster Medicine Sichuan People's Hospital, Sichuan Academy of Medical Sciences"
"Institute of Integrative Medicine of Dalian Medical University, Dalian, China.","Institute of Integrative Medicine of Dalian Medical University, Dalian, China."
Iran University of Medical Sciences,Iran University of Medical Sciences
Jean Liu,Jean Liu
"Jiangsu Famous Medical Technology Co., Ltd.","Jiangsu Famous Medical Technology Co., Ltd."
Jiangsu Institute of Parasitic Diseases,Jiangsu Institute of Parasitic Diseases
Jiangsu Provincial Center for Disease Control and Prevention,Jiangsu Provincial Center for Disease Control and Prevention
Jiangxi Qingfeng Pharmaceutical Co. Ltd.,Jiangxi Qingfeng Pharmaceutical Co. Ltd.
Jieming QU,Jieming QU
Jingzhou First People's Hospital,Jingzhou First People's Hospital
Jingzhou Mental Health Center,Jingzhou Mental Health Center
"Jinling Hospital, Medical School of Nanjing University","Jinling Hospital, Medical School of Nanjing University"
Key Laboratory of Ministry of Industry and Information Technology of Biomedical Engineering and Translational Medicine,Key Laboratory of Ministry of Industry and Information Technology of Biomedical Engineering and Translational Medicine
Klinik fA14r AnAsthesiologie und Intensivtherapie; UniversitAtsklinikum Leipzig,University Hospital Leipzig
Li Caixia,Li Caixia
Li Lanjuan,Li Lanjuan
Liaocheng People's Hospital,Liaocheng People's Hospital
Lihir Medical Centre,Lihir Medical Centre
Lishui Central Hospital,Lishui Central Hospital
Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine
Longhua Hospital Affiliated to Shanghai University of traditional Chinese Medicine,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine
Maoming People's Hospital,Maoming People's Hospital
Massachusetts General Hospital,Massachusetts General Hospital
McMaster University,McMaster University
MedStar Georgetown University Hospital,MedStar Georgetown University Hospital
nan,No Sponsor Name Given
Nanchang Ninth Hospital,Nanchang Ninth Hospital
Nanjing Second Hospital,Nanjing Second Hospital
"National Cancer Institute, Naples",National Cancer Institute
National Center for Global Health and Medicine,National Center for Global Health and Medicine
National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID)
"National Institute of Respiratory Diseases, Mexico","National Institute of Respiratory Diseases, Mexico"
"NeuroRx, Inc.","NeuroRx, Inc."
Ningbo First Hospital,Ningbo First Hospital
"Ningbo First Hospital, Ningbo Hospital of Zhejiang University",Ningbo First Hospital
Ningbo Kangning Hospital,Ningbo Kangning Hospital
No Sponsor Name Given,No Sponsor Name Given
none,No Sponsor Name Given
"OncoImmune, Inc.","OncoImmune, Inc."
Peking Union Medical College Hospital,Peking Union Medical College Hospital
Peking University First Hospital,Peking University First Hospital
Peking University People's Hospital,Peking University People's Hospital
Peking University Third Hospital,Peking University Third Hospital
People's Hospital of Guangshan County,People's Hospital of Guangshan County
PLA General Hospital,PLA General Hospital
Professor Adrian Covic,Professor Adrian Covic
"Pulmotect, Inc.","Pulmotect, Inc."
Puren Hospital Affiliated to Wuhan University of Science and Technology,Puren Hospital Affiliated to Wuhan University of Science and Technology
Puren Hospital of Wuhan City,Puren Hospital of Wuhan City
Qazvin University of Medical Sciences,Qazvin University of Medical Sciences
Qilu Hospital of Shandong University,Qilu Hospital of Shandong University
"Qingdao East Sea Pharmaceutical Co., Ltd.","Qingdao East Sea Pharmaceutical Co., Ltd."
Rajavithi Hospital,Rajavithi Hospital
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals
Renji Hospital Affiliated to Shanghai Jiaotong University School of Medicine,Renji Hospital Affiliated to Shanghai Jiaotong University School of Medicine
Renmin Hospital of Wuhan University,Renmin Hospital of Wuhan University
Ruijin Hospital,Ruijin Hospital
"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine","Ruijin Hospital, Shanghai Jiao Tong University School of Medicine"
"Ruijin Hospital, Shanghai Jiaotong University School of Medicine","Ruijin Hospital, Shanghai Jiaotong University School of Medicine"
Second Affiliated Hospital of Wenzhou Medical University,Second Affiliated Hospital of Wenzhou Medical University
"Second Hospital of University of South China, Hengyang","Second Hospital of University of South China, Hengyang"
Shahid Beheshti University of Medical Sciences,Shahid Beheshti University of Medical Sciences
Shandong Provincial Chest hospital,Shandong Provincial Chest hospital
Shandong Provincial Chest Hospital,Shandong Provincial Chest hospital
Shandong Provincial Hospital,Shandong Provincial Hospital
Shanghai 10th people's hospital,Shanghai 10th people's hospital
Shanghai Changzheng Hospital,Shanghai Changzheng Hospital
"Shanghai Fifth People's Hospital, Fudan University","Shanghai Fifth People's Hospital, Fudan University"
Shanghai First People's Hospital,Shanghai First People's Hospital
Shanghai General Hospital,Shanghai General Hospital
Shanghai General Hospital of Shanghai Jiaotong University,Shanghai General Hospital of Shanghai Jiaotong University
